car,price,body,mileage,engV,engType,registration,year,model,drive,purchase_date
VAZ,1300,hatch,28,1.3,Petrol,yes,1991,2108,front,27-07-2015
VAZ,3750,sedan,74,1.6,Petrol,yes,2012,2170,front,28-07-2015
Land Rover,0,crossover,25,5,Petrol,yes,2013,Range Rover,full,29-07-2015
Mazda,15523.95,sedan,0,1.6,Petrol,yes,2016,3,front,30-07-2015
Subaru,8700,vagon,175,2,Gas,yes,2004,Forester,full,31-07-2015
Fiat,7977,van,248,2.8,Diesel,yes,2003,Ducato груз.,front,03-08-2015
BMW,47500,sedan,0,2,Diesel,yes,2016,320,full,04-08-2015
Toyota,17200,sedan,50,1.6,Petrol,yes,2013,Corolla,front,05-08-2015
Peugeot,2449,other,200,1.6,Gas,no,2000,306,front,06-08-2015
BMW,48535.5,crossover,0,2,Diesel,yes,2016,X3,full,07-08-2015
BMW,43163.25,crossover,0,2,Diesel,yes,2016,X1,full,10-08-2015
Opel,6550,sedan,240,3.2,Petrol,yes,2004,Vectra C,front,11-08-2015
BMW,43719,crossover,0,2,Petrol,yes,2016,X3,full,12-08-2015
BMW,64500,crossover,1,2,Diesel,yes,2016,X5,full,13-08-2015
Renault,7500,van,200,2.2,Diesel,yes,2002,Espace,front,14-08-2015
Mercedes-Benz,13900,other,272,2.2,Diesel,yes,2005,Sprinter 313 пасс.,rear,17-08-2015
Mercedes-Benz,5500,van,285,2.3,Diesel,yes,1999,Vito пасс.,front,18-08-2015
Audi,4150,vagon,249,2.5,Diesel,no,2004,A6,front,19-08-2015
Skoda,6100,vagon,205,1.6,Diesel,no,2012,Octavia A5,front,20-08-2015
Skoda,9600,other,120,2,Petrol,yes,2008,Octavia A5,front,21-08-2015
Kia,18900,crossover,130,2.4,Petrol,yes,2011,Sorento,full,24-08-2015
VAZ,3550,sedan,75,1.6,Petrol,yes,2006,1118,front,25-08-2015
Peugeot,5400,van,208,1.9,Diesel,yes,2005,Expert пасс.,,26-08-2015
Nissan,4400,sedan,1,2,Petrol,yes,1992,Primera,front,27-08-2015
Renault,10000,van,220,2,Diesel,yes,2007,Trafic пасс.,front,28-08-2015
Volkswagen,6000,vagon,250,5,Diesel,yes,1995,Passat B4,front,31-08-2015
Chevrolet,5499,sedan,1,1.6,Gas,yes,2007,Aveo,front,01-09-2015
Mitsubishi,17900,crossover,140,3.8,Gas,yes,2007,Pajero Wagon,full,02-09-2015
Chery,4200,hatch,37,1.1,Petrol,yes,2012,QQ,front,03-09-2015
Renault,6000,van,1,1.9,Diesel,yes,2005,Trafic груз.,front,04-09-2015
VAZ,3800,crossover,2,1.7,Gas,yes,1995,2121,full,07-09-2015
BMW,8000,sedan,194,2,Petrol,yes,1985,520,rear,08-09-2015
Ford,8200,hatch,80,1.3,Petrol,yes,2010,Fiesta,front,09-09-2015
Audi,3650,sedan,270,1.9,Diesel,yes,2002,A6,front,10-09-2015
Audi,6900,sedan,360,2.5,Diesel,yes,1997,A6,front,11-09-2015
Toyota,8000,hatch,115,1.6,Petrol,yes,2007,Corolla,front,14-09-2015
Skoda,8000,sedan,187,2,Petrol,yes,2004,Octavia,front,15-09-2015
Kia,7500,hatch,63,1.4,Petrol,yes,2010,Rio,front,16-09-2015
Land Rover,3550,vagon,255,2.5,Diesel,no,2001,Discovery,full,18-09-2015
Opel,3600,vagon,162,1.7,Diesel,no,2007,Astra H,,21-09-2015
Chevrolet,2550,vagon,176,1.6,Petrol,no,2006,Lacetti,,22-09-2015
Audi,15500,sedan,210,2,Diesel,yes,2008,A4,rear,23-09-2015
Hyundai,8650,crossover,147,2,Gas,yes,2007,Tucson,,24-09-2015
Mitsubishi,5500,crossover,30,2.5,Diesel,yes,2014,Pajero Sport,full,28-09-2015
Fiat,7000,van,118,1.6,Gas,yes,2007,Doblo пасс.,front,29-09-2015
Chevrolet,6700,hatch,62,1.5,Gas,yes,2009,Aveo,full,30-09-2015
Renault,7900,vagon,105,1.5,Diesel,yes,2010,Kangoo пасс.,front,01-10-2015
Ford,2100,sedan,256,2,Gas,yes,1987,Sierra,rear,05-10-2015
Mazda,14200,crossover,95,3.7,Gas,yes,2008,CX-9,full,06-10-2015
Opel,3399,sedan,295,2,Gas,yes,1994,Omega,rear,07-10-2015
Renault,2500,sedan,105,1.4,Petrol,yes,1990,19,front,08-10-2015
Skoda,8000,vagon,160,1.9,Diesel,yes,2008,Octavia,front,09-10-2015
VAZ,2799,sedan,120,1.5,Gas,yes,2004,21099,front,12-10-2015
Audi,15499,sedan,177,2,Diesel,yes,2007,A6,front,13-10-2015
Honda,19000,crossover,137,3.5,Petrol,yes,2008,Pilot,full,14-10-2015
Kia,10900,sedan,40,1.4,Petrol,yes,2013,Rio,front,15-10-2015
Ford,3300,vagon,320,1.8,Diesel,yes,2003,Focus,front,16-10-2015
VAZ,4800,sedan,7,1.6,Gas,yes,2013,2115,front,19-10-2015
Volkswagen,7800,vagon,193,1.9,Diesel,yes,2002,Passat B5,front,20-10-2015
Ford,6200,vagon,170,1.4,Petrol,yes,2008,Fusion,,21-10-2015
Toyota,2800,other,421,1.3,Gas,yes,1988,Corolla,front,23-10-2015
Chevrolet,6000,sedan,190,1.8,Gas,yes,2005,Lacetti,front,26-10-2015
Peugeot,5800,van,188,1.6,Diesel,yes,2012,Partner груз.,front,27-10-2015
VAZ,5250,sedan,56,1.6,Gas,yes,2008,2170,front,28-10-2015
Kia,15800,crossover,125,2,Gas,yes,2010,Sportage,front,29-10-2015
Nissan,37900,crossover,67,5.6,Petrol,yes,2011,Patrol,full,30-10-2015
Opel,5800,vagon,140,1.6,Petrol,yes,2004,Astra G,front,02-11-2015
Hyundai,14500,sedan,134,2,Gas,yes,2012,Sonata,front,03-11-2015
Kia,21999,crossover,120,2.2,Diesel,yes,2013,Sorento,,04-11-2015
Opel,0,van,245,NA,Diesel,yes,1996,Combo груз.,front,05-11-2015
Audi,5700,vagon,250,2,Diesel,no,2006,A4,front,06-11-2015
Volkswagen,10000,sedan,66,1.6,Petrol,yes,2011,Polo,front,09-11-2015
VAZ,3000,crossover,47,1.7,Gas,yes,1982,2121,full,10-11-2015
Kia,6200,sedan,94,2,Gas,yes,2006,Cerato,front,11-11-2015
Fiat,8400,van,51,1.3,Diesel,yes,2013,Doblo пасс.,front,13-11-2015
Toyota,7500,hatch,135,1,Petrol,yes,2008,Yaris,,16-11-2015
Mercedes-Benz,57000,crossover,3,2.2,Diesel,yes,2015,ML 250,full,17-11-2015
Subaru,13350,crossover,118,2.5,Gas,yes,2009,Forester,full,18-11-2015
Land Rover,70900,crossover,85,3,Diesel,yes,2014,Range Rover Sport,full,19-11-2015
Audi,10200,sedan,120,2,Petrol,yes,2006,A4,front,20-11-2015
Nissan,18500,crossover,111,NA,Diesel,yes,2005,Patrol,full,23-11-2015
Daewoo,3650,sedan,135,1.5,Petrol,yes,2006,Lanos,front,24-11-2015
VAZ,2408.25,sedan,46,1.5,Gas,yes,1996,2106,rear,26-11-2015
VAZ,2700,sedan,150,1.6,Gas,yes,2008,21099,front,27-11-2015
Kia,12500,sedan,38,1.6,Petrol,yes,2013,Rio,front,30-11-2015
Audi,30900,crossover,27,2,Petrol,yes,2011,Q5,full,01-12-2015
Ford,10999,hatch,57,1.5,Diesel,yes,2013,Fiesta,front,02-12-2015
Hyundai,6900,hatch,63,1.4,Petrol,yes,2008,Getz,front,03-12-2015
Daewoo,5400,other,15,1.5,Gas,yes,2014,Lanos,front,04-12-2015
Kia,10800,crossover,140,2,Gas,yes,2007,Sportage,full,07-12-2015
VAZ,650,sedan,17,1.5,Petrol,yes,1988,2107,rear,08-12-2015
Citroen,7900,hatch,87,1.4,Diesel,yes,2011,C3,front,09-12-2015
Mercedes-Benz,43900,crossover,89,3,Diesel,yes,2012,ML 350,full,10-12-2015
Ford,6200,hatch,150,1.6,Petrol,yes,2007,Focus,,11-12-2015
Mitsubishi,7500,hatch,138,1.3,Petrol,yes,2008,Colt,front,14-12-2015
Skoda,18500,vagon,59,1.8,Petrol,yes,2012,Octavia Scout,full,15-12-2015
VAZ,1750,vagon,120,1.5,Petrol,yes,2004,2104,rear,16-12-2015
Kia,10000,crossover,198,2.5,Diesel,yes,2006,Sorento,,17-12-2015
Skoda,2650,sedan,220,1.9,Diesel,no,2004,Octavia,front,18-12-2015
Mercedes-Benz,219900,crossover,33,5.5,Petrol,yes,2013,G 63 AMG,full,21-12-2015
Mitsubishi,3950,other,280,2.5,Diesel,no,1994,Pajero,full,22-12-2015
BMW,8900,sedan,294,2.2,Gas,yes,2000,520,rear,23-12-2015
Daewoo,3700,hatch,61,0.8,Petrol,yes,2012,Matiz,front,24-12-2015
Volkswagen,11450,van,140,2,Diesel,yes,2010,Caddy пасс.,full,28-12-2015
Ford,8300,other,262,2.2,Diesel,yes,2008,Transit груз.,front,29-12-2015
VAZ,2900,crossover,1,1.6,Petrol,yes,1979,2121,full,30-12-2015
Toyota,3500,sedan,286,1.6,Petrol,yes,2000,Corolla,front,31-12-2015
Renault,10000,vagon,234,2,Diesel,yes,2008,Laguna,front,01-01-2016
Mercedes-Benz,75500,van,14,2.2,Diesel,yes,2015,V 250,rear,04-01-2016
Audi,12500,sedan,146,1.8,Petrol,yes,2007,A4,rear,05-01-2016
Bentley,85000,other,20,6,Petrol,yes,2008,Continental,full,06-01-2016
Fiat,5800,van,260,1.9,Diesel,yes,2008,Doblo груз.,front,07-01-2016
Kia,9400,sedan,102,1.4,Petrol,yes,2012,Rio,front,08-01-2016
Opel,9350,sedan,166,2.2,Petrol,yes,2009,Vectra C,front,11-01-2016
Audi,13000,sedan,157,3,Petrol,yes,2006,A6,full,12-01-2016
Renault,8300,van,221,1.5,Diesel,yes,2009,Kangoo пасс.,front,13-01-2016
GAZ,4300,other,76,2.5,Gas,yes,2006,3302 GAZель,rear,14-01-2016
Mercedes-Benz,52777,sedan,60,3,Diesel,yes,2012,CLS 350,full,15-01-2016
Volkswagen,6500,other,547,1.9,Diesel,yes,1998,T4 (Transporter) пасс.,front,18-01-2016
VAZ,1300,sedan,31,1.3,Petrol,yes,1986,2106,rear,19-01-2016
Opel,6200,sedan,160,1.6,Gas,yes,2008,Astra G,front,20-01-2016
Chevrolet,4600,hatch,143,1.5,Petrol,yes,2006,Aveo,front,21-01-2016
Kia,8600,sedan,57,2,Petrol,yes,2008,Magentis,front,22-01-2016
Daewoo,3450,sedan,230,NA,Gas,yes,2003,Lanos,front,25-01-2016
Fiat,7900,van,140,2,Diesel,yes,2011,Doblo груз.,front,27-01-2016
Suzuki,15800,crossover,107,2,Gas,yes,2011,Grand Vitara,full,28-01-2016
Peugeot,26000,sedan,6,2,Diesel,yes,2014,508,,29-01-2016
Opel,10990,hatch,26,1.6,Petrol,yes,2013,Astra H,front,01-02-2016
Chery,2750,hatch,95,1.1,Petrol,yes,2008,QQ,front,02-02-2016
Hyundai,5850,hatch,98,1.1,Petrol,yes,2008,i10,front,03-02-2016
Chevrolet,28777,hatch,49,NA,Other,yes,2014,Volt,front,04-02-2016
Mazda,3400,hatch,200,1.8,Petrol,yes,1993,323,front,05-02-2016
Chevrolet,28777,hatch,47,1.4,Other,yes,2014,Volt,front,08-02-2016
Chery,2750,hatch,72,1.1,Petrol,yes,2008,QQ,front,09-02-2016
Opel,7550,hatch,230,1.3,Diesel,yes,2006,Astra H,front,10-02-2016
Opel,3000,sedan,430,1.6,Gas,yes,1988,Vectra A,front,11-02-2016
Chevrolet,5250,sedan,110,1.5,Petrol,no,2006,Aveo,front,12-02-2016
Daewoo,3500,hatch,65,0.8,Petrol,yes,2007,Matiz,front,15-02-2016
Hyundai,8800,hatch,67,1.4,Petrol,yes,2011,i30,front,16-02-2016
Infiniti,18880,crossover,120,3.5,Gas,yes,2008,FX 35,full,17-02-2016
Chevrolet,7000,vagon,117,1.7,Petrol,yes,2007,Niva,full,18-02-2016
Volkswagen,6450,van,220,NA,Other,yes,2004,Caddy пасс.,,19-02-2016
Fiat,6800,van,90,1.3,Diesel,yes,2011,Doblo груз.,front,22-02-2016
Opel,7200,sedan,189,3.2,Petrol,yes,2005,Vectra C,front,23-02-2016
Daewoo,3500,sedan,212,1.5,Gas,yes,2010,Nexia,front,24-02-2016
BMW,7300,sedan,350,NA,Petrol,yes,1997,520,rear,25-02-2016
VAZ,1000,sedan,200,1.6,Petrol,yes,1978,2106,rear,26-02-2016
Mitsubishi,10800,crossover,190,3,Gas,yes,2006,Pajero Sport,full,29-02-2016
Skoda,7300,hatch,230,1.8,Petrol,yes,2001,Octavia,front,01-03-2016
Opel,2600,sedan,234,2.2,Other,no,2002,Omega,front,02-03-2016
Chevrolet,8500,hatch,124,1.6,Gas,yes,2010,Lacetti,front,03-03-2016
Mercedes-Benz,135555,sedan,54,4.66,Petrol,yes,2015,S 500,full,04-03-2016
Toyota,10300,sedan,108,1.6,Petrol,yes,2008,Corolla,front,08-03-2016
Audi,0,hatch,243,2,Gas,yes,1987,100,front,09-03-2016
Audi,24300,sedan,43,1.8,Petrol,yes,2012,A4,front,10-03-2016
ZAZ,0,hatch,72,NA,Petrol,yes,2003,1102 Таврия,front,11-03-2016
Toyota,14850,hatch,51,1.6,Petrol,yes,2013,Auris,front,14-03-2016
Daewoo,5600,sedan,20,1.5,Petrol,yes,2013,Lanos,front,15-03-2016
Volkswagen,13500,hatch,48,1.4,Petrol,yes,2012,Polo,front,16-03-2016
BMW,2250,sedan,300,2.5,Petrol,no,1997,523,rear,17-03-2016
Mitsubishi,12500,crossover,120,2.5,Diesel,yes,2007,Pajero Sport,full,18-03-2016
Audi,9999,vagon,198,2.7,Petrol,yes,2003,A6 Allroad,full,21-03-2016
Audi,23500,other,83,2,Petrol,yes,2009,A5,full,22-03-2016
Chery,13415.805,crossover,1,2,Petrol,yes,2016,Tiggo,front,23-03-2016
Geely,9555.195,sedan,1,1.5,Petrol,yes,2015,Emgrand 7 (EC7),front,28-03-2016
BMW,0,other,35,3,Petrol,yes,2008,630,rear,29-03-2016
Nissan,15999,crossover,134,3,Diesel,yes,2000,Patrol,full,30-03-2016
Renault,10499,other,146,2,Diesel,yes,2012,Trafic груз.,front,31-03-2016
Skoda,15500,hatch,69,1.8,Petrol,yes,2012,Octavia A5,front,01-04-2016
ZAZ,815.1,vagon,111,1.2,Gas,yes,2003,1102 Таврия,front,04-04-2016
Volkswagen,14999,vagon,128,1.4,Gas,yes,2011,Passat B7,front,05-04-2016
Fiat,6700,van,188,1.9,Diesel,yes,2007,Doblo пасс.,front,06-04-2016
Volkswagen,7400,van,168,1.9,Diesel,yes,2005,Caddy пасс.,front,07-04-2016
Audi,23400,sedan,112,2,Diesel,yes,2012,A4,front,08-04-2016
Volkswagen,2900,vagon,243,1.9,Diesel,no,1999,Passat B5,front,11-04-2016
Toyota,600,sedan,10,1.5,Petrol,yes,1979,Corolla,rear,12-04-2016
Opel,13000,sedan,19,2.2,Petrol,yes,2007,Vectra C,front,13-04-2016
Toyota,20500,crossover,225,4.7,Gas,yes,2003,Land Cruiser 100,full,18-04-2016
Citroen,14849.64,van,1,1.6,Diesel,yes,2016,Berlingo пасс.,front,20-04-2016
ZAZ,8584.485,sedan,1,1.5,Petrol,yes,2015,Vida,front,21-04-2016
Audi,3700,vagon,290,1.9,Diesel,no,2002,A4,front,22-04-2016
Opel,3400,hatch,30,2,Petrol,yes,1990,Vectra A,front,25-04-2016
Renault,4800,van,113,15,Diesel,yes,2006,Kangoo пасс.,front,26-04-2016
Daewoo,3300,sedan,175,1.5,Petrol,yes,2007,Lanos,front,27-04-2016
Ford,5500,hatch,119,1.4,Other,yes,2008,Fiesta,front,28-04-2016
BMW,13900,other,80,3,Petrol,yes,2002,330,rear,29-04-2016
VAZ,1390,hatch,130,1.5,Other,yes,1990,2108,front,02-05-2016
Volkswagen,67622.5485,crossover,0,3,Diesel,yes,2016,Touareg,full,03-05-2016
VAZ,3000,sedan,160,NA,Petrol,yes,2008,2113,front,04-05-2016
Porsche,52000,crossover,79,3,Diesel,yes,2011,Cayenne,full,05-05-2016
Opel,10500,crossover,31,2.4,Petrol,yes,2013,Antara,full,06-05-2016
Ford,4400,sedan,193,2,Gas,yes,1995,Scorpio,rear,09-05-2016
Mercedes-Benz,0,crossover,0,4.6,Petrol,yes,2016,GLS 500,full,10-05-2016
Volkswagen,6300,van,1,2.5,Diesel,yes,2000,T4 (Transporter) пасс.,front,11-05-2016
BMW,65000,crossover,0,2.5,Diesel,yes,2016,X5,full,12-05-2016
Subaru,9500,other,270,2,Gas,yes,2006,Forester,full,13-05-2016
Toyota,9700,sedan,130,NA,Petrol,yes,2008,Corolla,front,16-05-2016
Opel,8550,sedan,170,2.2,Petrol,yes,2007,Vectra C,front,17-05-2016
Nissan,3999,hatch,225,2,Gas,yes,1997,Almera,front,18-05-2016
Mitsubishi,2400,hatch,350,2,Gas,yes,1989,Galant,,19-05-2016
Toyota,13500,sedan,158,2.4,Gas,yes,2008,Camry,front,20-05-2016
Daewoo,3000,hatch,195,1.5,Gas,yes,2008,Lanos,front,23-05-2016
Mercedes-Benz,28500,crossover,210,3.2,Diesel,yes,2007,GL 320,full,24-05-2016
Mazda,2800,sedan,100,1.8,Petrol,yes,1991,626,front,25-05-2016
Nissan,2600,sedan,270,NA,Other,yes,1991,Primera,,26-05-2016
Chevrolet,5400,sedan,129,1.6,Petrol,yes,2008,Aveo,front,27-05-2016
Mercedes-Benz,87777,van,0,2.2,Diesel,yes,2016,V 250,full,30-05-2016
VAZ,3000,hatch,150,1.5,Petrol,yes,1994,2108,front,31-05-2016
Mercedes-Benz,199999,crossover,0,5.5,Petrol,yes,2016,GLS 63,full,01-06-2016
VAZ,1300,other,1,1.5,Petrol,yes,1988,2121,full,02-06-2016
Nissan,7800,crossover,282,4.2,Gas,yes,1998,Patrol,,03-06-2016
Chrysler,6800,hatch,195,2,Petrol,yes,2003,PT Cruiser,front,06-06-2016
Fiat,7200,other,135,1.3,Diesel,yes,2009,Doblo пасс.,front,07-06-2016
BMW,3650,sedan,300,2,Petrol,yes,1990,520,rear,08-06-2016
BMW,53999,sedan,80,2.99,Diesel,yes,2012,550,full,09-06-2016
Volkswagen,9750,hatch,130,1.4,Petrol,yes,2005,Golf V,front,10-06-2016
Daewoo,3700,sedan,189,1.5,Gas,yes,2008,Lanos,front,13-06-2016
Lexus,16700,sedan,118,3.5,Other,yes,2007,ES 350,front,14-06-2016
Opel,3000,sedan,270,2,Gas,yes,1989,Vectra A,front,15-06-2016
Opel,9600,van,184,2,Diesel,yes,2012,Vivaro груз.,front,16-06-2016
Toyota,10400,sedan,87,1.6,Petrol,yes,2008,Corolla,front,17-06-2016
Volkswagen,7600,hatch,225,1.4,Petrol,yes,2004,Golf V,front,20-06-2016
Mercedes-Benz,6999,sedan,330,2,Petrol,yes,1997,200,front,21-06-2016
Nissan,1499,sedan,16,2,Gas,yes,1991,Primera,,22-06-2016
Toyota,9950,sedan,106,1.6,Gas,yes,2008,Corolla,front,23-06-2016
Volkswagen,8500,van,220,2.5,Diesel,yes,2003,T4 (Transporter) пасс.,front,24-06-2016
Opel,2500,sedan,250,2,Gas,yes,1989,Omega,rear,27-06-2016
Ford,0,other,222,2.5,Diesel,yes,1996,Transit груз.,rear,28-06-2016
GAZ,0,other,1,NA,Other,yes,1958,69,,29-06-2016
Toyota,14299,sedan,83,2,Petrol,yes,2009,Avensis,front,30-06-2016
Skoda,2100,sedan,287,1.9,Diesel,no,1998,Octavia,front,01-07-2016
BMW,3800,sedan,100,1.8,Petrol,yes,1992,318,rear,04-07-2016
Chevrolet,4650,sedan,131,1.5,Gas,yes,2006,Aveo,front,05-07-2016
VAZ,3300,sedan,120,1.6,Petrol,yes,2007,21099,front,07-07-2016
Volkswagen,10200,van,105,1.6,Diesel,yes,2014,Caddy груз.,,08-07-2016
Renault,12800,hatch,125,1.1,Diesel,yes,2012,Laguna,front,11-07-2016
Opel,7700,hatch,90,1.4,Petrol,yes,2006,Astra H,front,12-07-2016
VAZ,3450,sedan,93,1.6,Petrol,yes,2007,1118,front,13-07-2016
Nissan,4000,sedan,1,2,Petrol,yes,1994,Maxima,front,14-07-2016
Opel,6500,sedan,187,2.2,Petrol,yes,2004,Vectra C,front,15-07-2016
Chevrolet,4899,crossover,76,1.7,Petrol,yes,2006,Niva,full,18-07-2016
VAZ,1750,sedan,127,1.5,Other,yes,2003,2105,front,19-07-2016
Geely,4100,other,87,1.6,Gas,yes,2008,MK,front,20-07-2016
Daewoo,2400,hatch,20,1.6,Gas,yes,1998,Nubira,front,21-07-2016
Audi,2850,sedan,350,NA,Gas,yes,1988,80,front,22-07-2016
Hyundai,7700,hatch,97,1.4,Petrol,yes,2008,i30,front,25-07-2016
VAZ,4400,hatch,73,1.6,Gas,yes,2011,2114,front,26-07-2016
Renault,4300,van,1,1.5,Diesel,yes,2003,Kangoo пасс.,front,27-07-2016
Mitsubishi,22400,crossover,96,2.5,Diesel,yes,2011,Pajero Sport,full,28-07-2016
Renault,4600,sedan,230,1.5,Diesel,yes,2007,Kangoo пасс.,front,29-07-2016
BMW,27800,crossover,140,3,Diesel,yes,2009,X5,full,01-08-2016
Nissan,37900,crossover,92,5.6,Petrol,yes,2012,Patrol,full,02-08-2016
Chevrolet,6600,hatch,50,1.5,Gas,yes,2013,Aveo,front,03-08-2016
Volkswagen,9200,vagon,171,1.6,Petrol,yes,2008,Caddy пасс.,front,04-08-2016
Ford,7300,sedan,146,1.6,Gas,yes,2006,Focus,front,05-08-2016
Daewoo,3950,hatch,59,0.8,Petrol,yes,2009,Matiz,front,08-08-2016
Lexus,14500,other,130,3.5,Petrol,yes,2007,ES 350,front,09-08-2016
Ford,10990,sedan,72,1.6,Petrol,yes,2009,Focus,front,10-08-2016
Volkswagen,2650,hatch,280,1.8,Petrol,yes,1987,Golf II,front,11-08-2016
VAZ,3850,sedan,135,1.6,Petrol,yes,2007,2170,front,12-08-2016
Audi,3150,sedan,10,2.8,Petrol,yes,1991,100,front,16-08-2016
BMW,34900,crossover,65,2,Petrol,yes,2013,X3,full,17-08-2016
Citroen,18154.5,other,0,1.6,Diesel,yes,2016,Berlingo пасс.,front,18-08-2016
Audi,27500,sedan,74,2,Diesel,yes,2011,A5,,19-08-2016
Citroen,24050.637,hatch,0,1.2,Diesel,yes,2016,C4,front,22-08-2016
Subaru,8650,hatch,109,1.5,Petrol,yes,2008,Impreza,full,23-08-2016
Opel,1750,hatch,110,1.2,Petrol,no,1998,Corsa,front,24-08-2016
Smart,8300,other,112,0.7,Petrol,yes,2003,Roadster,rear,25-08-2016
Toyota,10600,crossover,185,2,Gas,yes,2005,Rav 4,full,26-08-2016
Mazda,2750,sedan,300,2,Diesel,no,2003,6,front,29-08-2016
Land Rover,22500,crossover,168,3,Diesel,yes,2007,Range Rover Sport,full,30-08-2016
Volkswagen,8400,hatch,60,1.39,Petrol,yes,2007,Polo,front,31-08-2016
Renault,7500,other,160,2,Gas,yes,2006,Scenic,front,01-09-2016
Volkswagen,6000,van,419,2.4,Diesel,yes,1995,T4 (Transporter) пасс.,front,02-09-2016
Mitsubishi,5100,hatch,250,1.3,Gas,yes,2006,Colt,front,06-09-2016
Opel,7700,van,154,1.3,Diesel,yes,2011,Combo пасс.,front,07-09-2016
Mercedes-Benz,23900,sedan,96,3.5,Petrol,yes,2009,S 350,full,08-09-2016
Opel,3500,vagon,238,2,Diesel,no,2004,Vectra C,front,09-09-2016
Skoda,17000,sedan,80,1.4,Petrol,yes,2014,Octavia A7,front,12-09-2016
Fiat,5400,van,194,1.3,Diesel,yes,2008,Doblo груз.,front,14-09-2016
Ford,12500,hatch,50,0.9,Petrol,yes,2013,Focus,front,15-09-2016
Volkswagen,19999,van,152,2,Diesel,yes,2012,Sharan,,16-09-2016
Opel,6950,hatch,190,1.6,Gas,yes,2005,Astra H,front,19-09-2016
Audi,21900,other,114,3.2,Petrol,yes,2009,A5,full,20-09-2016
Chevrolet,6100,sedan,117,NA,Gas,yes,2008,Aveo,front,21-09-2016
Hyundai,6900,hatch,95,1.4,Petrol,yes,2007,Getz,,22-09-2016
Subaru,7800,vagon,240,2,Petrol,yes,2004,Forester,full,23-09-2016
VAZ,3599,sedan,185,1.6,Petrol,yes,2009,Приора,front,26-09-2016
Mercedes-Benz,7300,other,250,2.2,Diesel,yes,2005,Sprinter 311 пасс.,,27-09-2016
Volkswagen,3500,hatch,201,1.9,Diesel,no,2002,Golf IV,front,28-09-2016
Volkswagen,5800,sedan,200,1.4,Petrol,yes,2000,Golf IV,front,29-09-2016
VAZ,4100,hatch,160,1.6,Petrol,yes,2008,2172,,30-09-2016
Hyundai,17200,crossover,45,2,Petrol,yes,2013,IX35,front,03-10-2016
Fiat,8900,van,106,NA,Gas,yes,2013,Doblo пасс.,front,04-10-2016
Skoda,13500,sedan,95,1.8,Petrol,yes,2012,Octavia A5,front,05-10-2016
Opel,6499,sedan,146,2.2,Diesel,yes,2003,Omega,rear,06-10-2016
VAZ,1900,sedan,100,1.5,Other,yes,1993,21099,front,07-10-2016
VAZ,0,vagon,39,1.3,Gas,yes,1988,2104,rear,10-10-2016
Audi,2450,vagon,240,2.5,Diesel,no,2000,A4,front,13-10-2016
Opel,4800,van,128,NA,Other,yes,2008,Combo груз.,,14-10-2016
Chevrolet,10999,crossover,96,3.2,Gas,yes,2007,Captiva,full,17-10-2016
Mitsubishi,16000,crossover,147,2.5,Diesel,yes,2008,Pajero Sport,full,18-10-2016
Chevrolet,6300,sedan,123,1.6,Petrol,yes,2008,Lacetti,front,19-10-2016
Hyundai,16000,crossover,175,3.8,Gas,yes,2007,ix55 (Veracruz),full,20-10-2016
Skoda,21924,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front,21-10-2016
Volkswagen,17500,sedan,144,1.4,Petrol,yes,2012,Passat CC,front,24-10-2016
Audi,15500,vagon,180,2,Diesel,yes,2007,A6,front,25-10-2016
Audi,23400,crossover,105,4.2,Gas,yes,2007,Q7,full,26-10-2016
Chevrolet,10000,sedan,62,1.6,Gas,yes,2011,Cruze,front,27-10-2016
Nissan,14500,crossover,186,2.5,Diesel,yes,2006,Pathfinder,full,28-10-2016
Toyota,9200,sedan,115,1.6,Gas,yes,2008,Corolla,front,30-10-2016
Mitsubishi,11300,crossover,209,3.5,Petrol,yes,1999,Pajero Wagon,full,01-11-2016
Hyundai,31500,crossover,1,2,Petrol,yes,2016,Tucson,full,02-11-2016
Fiat,7100,other,103,1.3,Diesel,yes,2007,Doblo пасс.,front,03-11-2016
Skoda,6800,hatch,153,1.4,Gas,yes,2008,Fabia,front,04-11-2016
Fiat,3750,van,185,1.9,Diesel,yes,2001,Doblo груз.,front,07-11-2016
Skoda,12000,hatch,91,1.8,Petrol,yes,2011,Octavia A5,front,08-11-2016
Skoda,14500,sedan,40,1.8,Petrol,yes,2012,Octavia A5,front,09-11-2016
Mitsubishi,0,crossover,205,2.5,Diesel,yes,2006,Pajero Sport,full,10-11-2016
VAZ,2500,sedan,187,1.5,Gas,yes,2005,21099,front,11-11-2016
ZAZ,407.55,hatch,143,0.9,Petrol,yes,1994,1102 Таврия,,15-11-2016
Volkswagen,10000,sedan,98,1.6,Petrol,yes,2013,Polo,front,16-11-2016
Toyota,18800,sedan,47,2.4,Petrol,yes,2009,Camry,front,17-11-2016
Peugeot,8900,other,92,1.6,Petrol,yes,2004,206,front,18-11-2016
Bentley,449999,crossover,0,6,Petrol,yes,2016,Bentayga,full,21-11-2016
Audi,22500,sedan,124,3,Diesel,yes,2008,A8,full,22-11-2016
Mitsubishi,5700,vagon,120,1.3,Petrol,yes,2005,Colt,front,23-11-2016
Daewoo,3900,sedan,85,1.4,Petrol,yes,2007,Lanos,front,24-11-2016
Subaru,13000,crossover,170,3,Gas,yes,2006,Tribeca,full,25-11-2016
